	hsa04215_GO:0006915	hsa04660_GO:0050852	hsa00620_GO:0006090	hsa04923_GO:0016042	hsa04710_GO:0007623	hsa04662_GO:0050853	hsa04666_GO:0006909	hsa04350_GO:0007179	hsa00561_GO:0046486	hsa00564_GO:0006650	hsa00140_GO:0034754	hsa04114_GO:0051321	hsa04913_GO:0050810	hsa04120_GO:0016567	hsa04310_GO:0016055	hsa04140_GO:0006914	hsa03410_GO:0006284	hsa04068_GO:0009267	hsa04668_GO:0033209	hsa03013_GO:0050658	hsa04810_GO:0030036	hsa04136_GO:0006914	hsa00512_GO:0006493	hsa00513_GO:0006487	hsa00510_GO:0006487	hsa04152_GO:2000479	hsa00514_GO:0006493	hsa04141_GO:0034976	hsa04141_GO:0030433	hsa00071_GO:0009062	hsa04024_GO:0019933	hsa04370_GO:0048010	hsa04915_GO:0030520	hsa04020_GO:0019722	hsa04979_GO:0008203	hsa03018_GO:0006401	hsa04015_GO:0007264	hsa04977_GO:0051180	hsa04010_GO:0000165	hsa00061_GO:0006633	hsa04260_GO:0060048	hsa00230_GO:0042278	hsa00230_GO:0006163	hsa03440_GO:0000724	hsa04670_GO:0050900	hsa00600_GO:0006665	hsa04144_GO:0006897	hsa04210_GO:0006915	hsa04218_GO:0090398	hsa03420_GO:0006289	hsa03450_GO:0006303	hsa04742_GO:0050909	hsa00630_GO:0043648	hsa00920_GO:0006790
GENEPT-MODEL3	2	2	1	12	1	1	3	1	2	1	1	4	1	1	1	2	1	3	1	1	1	1	2	2	1	2	1	1	1	1	2	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
SCGPT-HUMAN	2	1	1	19	1	1	3	1	2	1	1	1	1	1	1	1	1	7	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
SCGPT-PANCANCER	2	1	1	19	1	1	2	1	2	1	1	1	1	1	1	1	1	8	1	1	1	2	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5
GENEPT-ADA	2	2	1	16	1	2	3	1	2	1	1	3	1	1	1	1	1	3	1	1	1	2	2	2	1	1	1	1	1	1	2	2	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	3
PPI-RAW	2	1	1	23	1	2	4	1	2	1	1	2	1	1	1	1	1	5	1	1	1	2	2	2	1	2	1	1	1	1	1	1	5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4
BIOCONCEPTVEC-GLOVE	3	1	1	17	1	3	5	1	2	1	1	6	1	1	1	1	1	2	1	1	1	2	2	2	1	4	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	4
NODE2VEC	2	1	1	15	1	2	7	1	2	1	1	5	4	1	1	1	1	4	1	1	1	2	2	2	1	7	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
FROGS-ARCHS4	2	1	1	22	1	1	6	1	2	1	1	2	3	1	1	1	1	4	1	1	1	2	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	11
MUT2VEC	6	1	1	12	1	3	4	2	2	1	1	5	1	1	1	1	1	2	1	1	1	2	2	2	1	2	1	1	1	1	2	1	12	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	5
BIOCONCEPTVEC-FASTTEXT	7	1	1	8	1	2	9	1	2	1	1	5	6	1	1	1	1	2	1	1	1	2	2	2	1	3	1	1	1	1	2	3	10	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3
BIOCONCEPTVEC-CBOW	6	1	1	13	1	1	4	1	2	1	1	6	3	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	17	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	4
GF-20L95M	2	1	1	14	1	1	12	1	2	1	1	3	1	1	1	1	1	5	1	1	1	2	2	2	1	7	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	6
BLAST	2	1	1	17	1	2	6	1	2	1	1	3	2	1	1	1	1	3	3	1	1	2	2	2	1	13	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	7	1	1	1	2	1
